Date,Open,High,Low,Close,Volume
15/08/2024 - 00:00,223.55956160665437,224.3060872818483,221.72807374055304,223.6790008544922,46414000
16/08/2024 - 00:00,222.88270038911833,225.77922361016536,222.6139468974481,225.00283813476562,44340200
19/08/2024 - 00:00,224.6743714872065,224.94312498661264,222.0067784736323,224.8435821533203,40687800
20/08/2024 - 00:00,224.72413110884563,226.11763957317405,224.4056062095116,225.460693359375,30299000
21/08/2024 - 00:00,225.4706659840429,226.92389412945442,224.00747444255492,225.35121154785156,34765500
22/08/2024 - 00:00,226.73474533285912,227.28220046938023,222.86276654997636,223.48985290527344,43695300
23/08/2024 - 00:00,224.61464290366072,227.16278137803022,223.29080225181497,225.78916931152344,38677300
26/08/2024 - 00:00,225.7095414433551,226.22713682494347,222.85284141893553,226.12759399414062,30602200
27/08/2024 - 00:00,224.9530683997657,227.7898720189865,223.84820980142854,226.97366333007812,35934600
28/08/2024 - 00:00,226.86416416696267,228.79517959293358,224.63453544627717,225.4407958984375,38052200
29/08/2024 - 00:00,229.03408635152135,231.8410150307569,227.8197366882459,228.7255096435547,51906300
30/08/2024 - 00:00,229.123652992766,229.33267166766268,226.42620031745173,227.9391632080078,52990800
03/09/2024 - 00:00,227.4912604304481,227.9391727978887,220.1454429272487,221.738037109375,50190600
04/09/2024 - 00:00,220.63318011937469,220.75261936807303,216.47253576183732,219.82693481445312,43840200
05/09/2024 - 00:00,220.60332780966414,224.43548398740054,220.4938367652657,221.349853515625,36615400
06/09/2024 - 00:00,222.91254804497814,224.1965806221913,218.75191919539128,219.79705810546875,48423000
09/09/2024 - 00:00,219.79706302441255,220.24497537072617,215.7061019102892,219.8866424560547,67180000
10/09/2024 - 00:00,217.905857501112,220.45399594379384,215.72600018375593,219.09034729003906,51591000
11/09/2024 - 00:00,220.43411720557373,222.0565560791085,216.88064755383493,221.62855529785156,44587100
12/09/2024 - 00:00,221.46928361366915,222.51442259643306,218.8017058249269,221.738037109375,37455600
13/09/2024 - 00:00,222.54426752163744,223.00212806640087,220.8820056188433,221.46926879882812,36766600
16/09/2024 - 00:00,215.53686848493908,216.213726272445,212.92901053484562,215.31790161132812,59357400
17/09/2024 - 00:00,214.75054527350213,215.8952118613641,213.50633585708556,215.7857208251953,45519300
18/09/2024 - 00:00,216.54221012404864,221.67831024616868,216.5322467283196,219.66766357421875,59894900
19/09/2024 - 00:00,223.94775287051627,228.75538000957175,223.58941994126667,227.8097686767578,66781300
20/09/2024 - 00:00,228.90467282845125,232.01021467188832,226.56555305015522,227.1428680419922,318679900
23/09/2024 - 00:00,226.28686337720748,228.3870895913876,224.76395218553373,225.4208984375,54146000
24/09/2024 - 00:00,227.59076531001585,228.28753468756818,224.6842941282367,226.3166961669922,43556100
25/09/2024 - 00:00,223.88800321688734,226.23707111110926,222.9822303399746,225.3213348388672,42308700
26/09/2024 - 00:00,226.24703661091274,227.44147457763864,224.36579263659118,226.4660186767578,36636700
27/09/2024 - 00:00,227.40166606122023,228.45675318264773,226.24703611440785,226.73475646972656,34026000
30/09/2024 - 00:00,228.97432934379907,231.92062377929688,228.58613663255096,231.92062377929688,54541900
01/10/2024 - 00:00,228.45677367012016,228.58616112900037,222.70355021092283,225.162109375,63285000
02/10/2024 - 00:00,224.84358511910924,226.31672490502262,221.98688498556473,225.72946166992188,32880600
03/10/2024 - 00:00,224.09704443839323,225.75930638603796,222.28548343692833,224.6245880126953,34044200
04/10/2024 - 00:00,226.84423896960539,226.94378179124593,223.0917145657714,225.7493438720703,37245100
07/10/2024 - 00:00,223.4600206171574,224.64451046166124,220.3047072265611,220.6630401611328,39505400
08/10/2024 - 00:00,223.26094483680066,224.93315503301397,222.2158058701156,224.72413635253906,31855700
09/10/2024 - 00:00,224.1866374402548,228.68570318762718,223.78849648056692,228.47666931152344,33591100
10/10/2024 - 00:00,226.72481576308653,228.43684913724616,226.11764095959848,227.97897338867188,28183500
11/10/2024 - 00:00,228.23778864704394,228.34727968813561,226.28686151162026,226.4958953857422,31759200
14/10/2024 - 00:00,227.64055393917852,230.65651637799863,227.54102629778745,230.228515625,39882100
15/10/2024 - 00:00,232.527799450427,236.38983016358188,231.29353829774286,232.76669311523438,64751400
16/10/2024 - 00:00,230.52713995218934,231.04472016362837,228.77528327315235,230.706298828125,34082200
17/10/2024 - 00:00,232.348638945834,232.76670668063704,229.4521309302649,231.07456970214844,32993800
18/10/2024 - 00:00,235.0858880500012,235.0858880500012,232.92594240501305,233.91136169433594,46431500
21/10/2024 - 00:00,233.36391138062547,235.75280253487685,233.36391138062547,235.38450622558594,36254500
22/10/2024 - 00:00,232.80651969699693,235.12572795126604,231.52250221800776,234.76739501953125,38846600
23/10/2024 - 00:00,232.99562158724072,234.05070868615385,226.70489182210235,229.6909942626953,52287000
24/10/2024 - 00:00,228.9146289407981,229.75074924052936,227.35190975750177,229.5019073486328,31109500
25/10/2024 - 00:00,228.6757506783198,232.13962556438537,228.5065400142299,230.3380126953125,38802300
28/10/2024 - 00:00,232.23917058038825,233.6426273223557,231.4727332926884,232.31878662109375,36087100
29/10/2024 - 00:00,232.02018805231754,233.24448591818899,231.24380255804743,232.58753967285156,35417200
30/10/2024 - 00:00,231.5324398883544,232.38845656475567,228.48661770128336,229.03407287597656,47070900
31/10/2024 - 00:00,228.27758291037028,228.76531846185907,224.32597264925337,224.8634796142578,64370100
01/11/2024 - 00:00,219.9463649274566,224.30607958110733,219.2496106921502,221.87738037109375,65276700
04/11/2024 - 00:00,219.96627293386246,221.75792231303782,218.69220372782075,220.98153686523438,44944500
05/11/2024 - 00:00,220.7725208689619,222.91255498009295,220.11557465497725,222.4148712158203,28111300
06/11/2024 - 00:00,221.57875664968802,225.02273483375984,220.16533664224426,221.68824768066406,54561100
07/11/2024 - 00:00,223.5894200604507,226.82436463330757,223.52970043689453,226.42620849609375,42137700
