Date,Open,High,Low,Close,Volume
14/08/2024 - 00:00,31.733513148516714,32.424671798121686,31.707915765015517,32.21988296508789,37955500
15/08/2024 - 00:00,32.467334312350346,32.902509350169524,32.42467092266423,32.714786529541016,33409000
16/08/2024 - 00:00,32.56973028617651,33.08170077754011,32.45027148136083,32.851314544677734,35472700
19/08/2024 - 00:00,32.93663847951506,33.09876391915772,32.7659849188504,32.800113677978516,28138200
20/08/2024 - 00:00,32.851311143996696,33.00490195000563,32.33080932974509,32.672122955322266,27322600
21/08/2024 - 00:00,33.00490140652368,33.09876281476221,32.37347218610584,32.475868225097656,38491900
22/08/2024 - 00:00,32.71562083181703,32.7331725328386,32.34704515329788,32.57521057128906,26334300
23/08/2024 - 00:00,32.79460190706492,32.93501216799737,32.37337112426758,32.37337112426758,29239000
26/08/2024 - 00:00,33.224607448274924,34.760346013968025,33.0929713750149,34.725242614746094,102270300
27/08/2024 - 00:00,34.444423482392494,34.54973033659055,34.18115467307509,34.260135650634766,35073100
28/08/2024 - 00:00,34.17237890594037,34.9797404233516,34.031968643909465,34.75157165527344,43284500
29/08/2024 - 00:00,34.79545371189069,34.9534156802599,34.470752250440185,34.51463317871094,25356600
30/08/2024 - 00:00,34.418095670121126,34.795448836390506,34.11972347696962,34.54972839355469,84437200
02/09/2024 - 00:00,34.514626997728975,34.57605626913331,34.12849632302263,34.22502899169922,15288400
03/09/2024 - 00:00,34.04074505455802,34.06707093168849,33.68094356064837,33.81257629394531,35866300
04/09/2024 - 00:00,33.9968675715499,34.154826182417565,33.80380221166942,33.821353912353516,28851300
05/09/2024 - 00:00,33.91788273782653,34.12849642681211,33.61073303222656,33.61073303222656,26206600
06/09/2024 - 00:00,33.67216335532479,33.74237015227521,32.8823569754986,32.95256042480469,32971700
09/09/2024 - 00:00,33.207059623287044,33.56686113818269,33.00522007567678,33.3123664855957,30521800
10/09/2024 - 00:00,33.27726253694001,33.27726253694001,32.46990435972972,32.75950241088867,37263500
11/09/2024 - 00:00,33.13684897638098,33.19828159889006,32.355816755120706,32.724395751953125,32907000
12/09/2024 - 00:00,32.72439873255171,32.75072461056455,32.25051284245237,32.35581970214844,22103300
13/09/2024 - 00:00,32.566432161853434,32.95255949120815,32.11009803753737,32.20663070678711,34729600
16/09/2024 - 00:00,32.680519287631014,33.1017500500125,32.61031248674517,32.65419006347656,22614800
17/09/2024 - 00:00,32.6190859101521,32.63663760996845,32.20663268122345,32.5050048828125,23443700
18/09/2024 - 00:00,32.390920168365966,32.40847186799837,31.72397232055664,31.72397232055664,38777000
19/09/2024 - 00:00,32.092551589510535,32.276839434969354,31.75907595417212,31.829282760620117,25059700
20/09/2024 - 00:00,31.82927694319014,31.94336130899457,31.653763306793522,31.820499420166016,48336200
23/09/2024 - 00:00,31.93458559160533,32.434797307649795,31.78540116820178,32.14520263671875,28218500
24/09/2024 - 00:00,32.671741275231106,32.7419480750673,32.224184643030995,32.27683639526367,35104100
25/09/2024 - 00:00,32.55766008158479,32.84725813774842,32.434801517507424,32.5137825012207,38655300
26/09/2024 - 00:00,32.399696340665606,32.399696340665606,31.566012316447647,31.811729431152344,58048200
27/09/2024 - 00:00,31.925814325649426,31.925814325649426,31.53090942234537,31.688871383666992,34537400
30/09/2024 - 00:00,31.73275036252925,31.83805722550873,31.522133288925474,31.60111427307129,21146300
01/10/2024 - 00:00,31.601111928479146,32.92623685887181,31.44315331955181,32.44357681274414,49748200
02/10/2024 - 00:00,33.1280752816469,33.28603723292061,32.777047979339876,32.89113235473633,32014500
03/10/2024 - 00:00,32.856028796829754,33.382569747755866,32.6541892706503,33.2948112487793,31033000
04/10/2024 - 00:00,33.47910044749319,33.52297802057042,33.057866372547934,33.207054138183594,22526800
07/10/2024 - 00:00,33.382570235251556,33.68094244084024,33.25971168253466,33.67216491699219,36418000
08/10/2024 - 00:00,32.88235985388705,33.12807696943393,32.864808153113046,32.99644088745117,34142000
09/10/2024 - 00:00,32.79460041245968,32.926236490679116,32.47867650284864,32.662967681884766,30789800
10/10/2024 - 00:00,32.82092632559732,33.119298504835264,32.75071953159112,33.04031753540039,20630100
11/10/2024 - 00:00,32.99644060894445,33.040321534331405,32.750723495471554,33.01399230957031,16343000
14/10/2024 - 00:00,32.882358098999134,33.259711276389915,32.777047899975344,33.09297180175781,22279000
15/10/2024 - 00:00,32.65419099790403,32.829704657496585,32.522558263943075,32.82093048095703,28204600
16/10/2024 - 00:00,32.952562271952345,32.9788914961068,32.6366383632551,32.65419006347656,23041200
17/10/2024 - 00:00,32.654191083996494,32.654191083996494,32.19785690691058,32.40847396850586,22174300
18/10/2024 - 00:00,32.452349584258506,32.53133055912529,31.95213785931705,32.320716857910156,32000800
21/10/2024 - 00:00,32.46990314352101,32.513780721483336,31.76785185319002,31.811729431152344,28390000
22/10/2024 - 00:00,31.767852364327805,31.855607521664407,31.583564525334133,31.688871383666992,29144300
23/10/2024 - 00:00,31.513353691569154,31.539679565874774,31.2149815080766,31.293962478637695,30769100
24/10/2024 - 00:00,31.46070243271062,31.618664393100108,31.206211138878352,31.50458335876465,23058900
25/10/2024 - 00:00,31.557232847871003,32.022344519018695,31.46070017371498,31.72397232055664,32585900
28/10/2024 - 00:00,31.144782317602537,31.706423363849456,31.013146232793858,31.67131996154785,27507100
29/10/2024 - 00:00,31.881938153757925,31.960915790258923,31.416826425945995,31.60111427307129,26090200
30/10/2024 - 00:00,31.697641996765253,31.91703321308658,31.460699081420902,31.4606990814209,26144700
